Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
CX9,Makkah,Mazda,Automatic,Saudi,Full,2014,3.7,131000,0
H1,Qassim,Hyundai,Automatic,Unknown,Semi Full,2019,2.4,20000,0
Camry,Jeddah,Toyota,Manual,Saudi,Standard,2004,2.4,570000,0
Yukon,Aseer,GMC,Automatic,Saudi,Semi Full,2012,5.3,60000,0
Panamera,Riyadh,Porsche,Automatic,Gulf Arabic,Full,2014,3.0,53000,0
Patrol,Makkah,Nissan,Manual,Saudi,Semi Full,1998,4.0,143,0
Rush,Arar,Toyota,Automatic,Other,Standard,2021,1.5,600,0
Hilux,Jeddah,Toyota,Manual,Saudi,Semi Full,2009,2.7,300,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2018,5.3,37000,0
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2017,2.0,100000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,3226,0
D-MAX,Dammam,Isuzu,Manual,Saudi,Semi Full,2007,2.5,452000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2005,5.3,306270,0
Land Cruiser,Tabouk,Toyota,Automatic,Gulf Arabic,Full,2014,4.6,194,0
E,Al-Ahsa,Mercedes,Automatic,Gulf Arabic,Full,2014,2.0,135000,0
Land Cruiser,Jazan,Toyota,Automatic,Other,Full,2004,4.6,38000,0
Sunny,Riyadh,Nissan,Automatic,Other,Standard,2014,1.5,156,0
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2018,2.5,71000,0
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2019,2.5,150000,0
Explorer,Riyadh,Ford,Automatic,Saudi,Full,2008,3.5,315000,0
VTC,Qurayyat,Nissan,Manual,Gulf Arabic,Standard,2016,4.8,55000,0
CS95,Riyadh,Changan,Automatic,Saudi,Full,2021,2.0,33000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2012,5.3,214,0
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017,2.5,170,0
Optima,Riyadh,Kia,Automatic,Unknown,Semi Full,2014,2.4,170000,0
Prado,Jeddah,Toyota,Automatic,Saudi,Semi Full,2016,2.7,158000,0
Cayenne Turbo S,Jeddah,Porsche,Automatic,Saudi,Full,2009,4.8,127000,0
Land Cruiser,Qurayyat,Toyota,Automatic,Saudi,Full,2015,8.0,200000,0
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2014,9.0,360,0
Land Cruiser,Dammam,Toyota,Manual,Saudi,Semi Full,2005,4.6,300,0
Prado,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,4.0,44000,0
Hilux,Sakaka,Toyota,Manual,Gulf Arabic,Full,2016,2.7,217000,0
Malibu,Jeddah,Chevrolet,Manual,Gulf Arabic,Semi Full,2013,6.0,200000,0
Avalon,Al-Baha,Toyota,Automatic,Saudi,Full,2013,4.1,360,0
LX,Riyadh,Lexus,Automatic,Saudi,Full,2020,5.7,24000,0
Carnival,Dammam,Kia,Automatic,Saudi,Semi Full,2013,3.3,169000,0
VTC,Al-Namas,Nissan,Automatic,Saudi,Full,1999,4.5,297000,0
Other,Taef,Other,Automatic,Saudi,Full,2004,2.4,6000,0
D-MAX,Aseer,Isuzu,Automatic,Saudi,Full,2020,3.0,2700,0
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2017,2.4,210,0
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,3.5,225000,0
Sonata,Al-Medina,Hyundai,Automatic,Unknown,Semi Full,2020,2.4,2396,0
Optra,Hafar Al-Batin,Chevrolet,Manual,Other,Semi Full,2005,1.6,300,0
Ciocca,Riyadh,Toyota,Automatic,Saudi,Full,2009,5.7,251000,0
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,52000,0
Sunny,Riyadh,Nissan,Automatic,Gulf Arabic,Standard,2002,1.6,340000,0
Furniture,Makkah,Toyota,Automatic,Saudi,Semi Full,2020,2.7,82000,0
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2011,5.3,400,0
H1,Sakaka,Hyundai,Automatic,Saudi,Standard,2013,2.5,100000,0
Flex,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2016,3.5,27800,0
Charger,Riyadh,Dodge,Automatic,Gulf Arabic,Standard,2006,3.6,300,0
Prado,Jeddah,Toyota,Automatic,Saudi,Semi Full,2009,4.0,194000,0
Suburban,Hail,Chevrolet,Automatic,Other,Semi Full,1997,5.6,364627,0
