Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.6,270,0
LX,Al-Medina,Lexus,Automatic,Gulf Arabic,Full,2017,5.7,27000,0
Sunny,Dammam,Nissan,Automatic,Saudi,Semi Full,2016,1.5,76000,0
Yukon,Al-Ahsa,GMC,Automatic,Other,Standard,2007,5.3,217,0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2021,2.0,750000,0
Datsun,Riyadh,Nissan,Manual,Saudi,Standard,2004,2.4,300000,0
Navara,Dammam,Nissan,Manual,Saudi,Standard,2016,2.5,273000,0
Accent,Qassim,Hyundai,Manual,Saudi,Standard,2009,2.5,280000,0
Furniture,Qassim,Toyota,Automatic,Saudi,Semi Full,2021,2.4,5780,0
Acadia,Qassim,GMC,Automatic,Saudi,Semi Full,2010,3.6,269,0
Ciocca,Qassim,Toyota,Automatic,Saudi,Standard,2013,5.7,179000,0
Traverse,Makkah,Chevrolet,Automatic,Other,Semi Full,2009,3.8,300,0
Echo,Riyadh,Toyota,Manual,Saudi,Semi Full,2005,1.5,302000,0
Camaro,Qurayyat,Chevrolet,Automatic,Other,Standard,2011,3.6,145000,0
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2013,4.0,287808,0
Land Cruiser,Jeddah,Toyota,Manual,Gulf Arabic,Semi Full,1997,4.5,600000,0
LX,Riyadh,Lexus,Automatic,Saudi,Full,2015,5.7,109900,0
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,1.1,200548,0
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2013,5.4,130,0
Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2008,5.3,450000,0
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2017,6.0,256,0
Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2020,3.0,51000,0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2003,4.6,389265,0
Pajero,Jeddah,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.5,189800,0
Prado,Jazan,Toyota,Automatic,Saudi,Semi Full,2016,4.0,191,0
Camry,Al-Jouf,Toyota,Automatic,Gulf Arabic,Semi Full,2011,2.5,349000,0
Innova,Riyadh,Toyota,Manual,Saudi,Standard,2006,2.7,498000,0
Cerato,Al-Medina,Kia,Automatic,Saudi,Semi Full,2016,2.0,99000,0
Armada,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2008,4.0,240000,0
Dyna,Riyadh,Toyota,Manual,Saudi,Standard,1991,2.4,1111,0
CX9,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2016,2.0,77000,0
Avalanche,Riyadh,Chevrolet,Automatic,Other,Semi Full,2007,6.5,383,0
Innova,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.7,390861,0
LX,Jeddah,Lexus,Automatic,Saudi,Full,2019,5.7,45000,0
H1,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,175250,0
Vego,Wadi Dawasir,Ford,Automatic,Other,Standard,2020,1.5,3300,0
Accord,Riyadh,Honda,Automatic,Saudi,Standard,2018,1.5,55000,0
MKX,Yanbu,Lincoln,Automatic,Other,Full,2011,3.7,321,0
Taurus,Jeddah,Ford,Automatic,Other,Standard,2018,3.5,68000,0
Suburban,Al-Medina,Chevrolet,Automatic,Saudi,Standard,2015,5.3,75000,0
3,Dammam,Mazda,Automatic,Saudi,Standard,2013,1.6,172000,0
Land Cruiser Pickup,Tabouk,Toyota,Manual,Gulf Arabic,Semi Full,2014,4.0,185000,0
Marquis,Al-Baha,Ford,Automatic,Other,Full,1999,4.6,336737,0
Caprice,Khobar,Chevrolet,Automatic,Saudi,Full,1995,6.0,600000,0
SRX,Riyadh,Cadillac,Automatic,Saudi,Semi Full,2015,3.6,155000,0
Maxima,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017,3.5,111000,0
Patrol,Taef,Nissan,Manual,Saudi,Semi Full,1999,4.0,40000,0
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2008,4.0,500,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,5.3,170,0
Marquis,Riyadh,Ford,Automatic,Other,Full,2005,5.1,450000,0
Escalade,Riyadh,Cadillac,Automatic,Saudi,Full,2011,6.2,200000,0
Sonata,Riyadh,Hyundai,Automatic,Gulf Arabic,Standard,2017,2.4,311000,0
SLK,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,1.8,137000,0
X,Riyadh,BMW,Automatic,Saudi,Semi Full,2015,4.3,168000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2018,5.7,23435,0
Hilux,Taef,Toyota,Manual,Gulf Arabic,Full,2013,2.7,171400,0
Grand Cherokee,Jeddah,Jeep,Automatic,Saudi,Full,2018,6.4,83000,0
Carenz,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2013,2.0,149000,0
Rav4,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,124000,0
Camry,Riyadh,Toyota,Manual,Saudi,Semi Full,2010,2.5,311000,0
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2016,1.4,253,0
Yukon,Dammam,GMC,Automatic,Saudi,Standard,2016,5.3,103000,0
C300,Taef,Chrysler,Automatic,Other,Standard,2016,3.6,190000,0
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2020,2.5,5000,0
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,218000,0
Land Cruiser Pickup,Al-Medina,Toyota,Manual,Gulf Arabic,Full,2014,4.0,219078,0
Hilux,Aseer,Toyota,Automatic,Saudi,Full,2018,2.7,75000,0
X,Riyadh,BMW,Automatic,Saudi,Full,2014,8.0,222000,0
Land Cruiser,Al-Jouf,Toyota,Automatic,Saudi,Full,2014,4.6,182000,0
CS35,Jazan,Changan,Automatic,Saudi,Full,2021,8.5,30000,0
Durango,Khobar,Dodge,Automatic,Saudi,Semi Full,2011,5.7,210000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2017,5.3,118,0
Silverado,Najran,Chevrolet,Automatic,Saudi,Standard,2010,3.5,303545,0
Land Cruiser,Besha,Toyota,Automatic,Saudi,Full,2013,7.4,200,0
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2019,2.4,92000,0
Land Cruiser,Yanbu,Toyota,Automatic,Gulf Arabic,Semi Full,2013,4.6,73335,0
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Standard,2017,3.5,265,0
Camry,Makkah,Toyota,Manual,Saudi,Standard,2001,1.1,700000,0
S,Qassim,Mercedes,Automatic,Saudi,Full,2018,3.5,53000,0
Land Cruiser,Dammam,Toyota,Automatic,Unknown,Full,2008,4.6,475000,0
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Full,2015,2.5,162000,0
Innova,Al-Medina,Toyota,Automatic,Saudi,Full,2018,2.7,92000,0
Ranger,Riyadh,Ford,Manual,Saudi,Semi Full,2016,2.5,164000,0
Land Cruiser Pickup,Riyadh,Toyota,Manual,Unknown,Full,1997,4.0,300000,0
Land Cruiser Pickup,Makkah,Toyota,Manual,Saudi,Standard,2008,4.0,160,0
Q5,Jeddah,Audi,Automatic,Saudi,Full,2010,2.0,120000,0
Sonata,Abha,Hyundai,Automatic,Other,Standard,2019,2.4,32000,0
Accent,Najran,Hyundai,Automatic,Saudi,Standard,2012,1.4,360000,0
Patrol,Hail,Nissan,Manual,Saudi,Standard,2004,4.5,164000,0
The 6,Dammam,BMW,Automatic,Gulf Arabic,Full,2015,3.0,137500,0
Suburban,Jazan,GMC,Automatic,Saudi,Full,2008,5.3,154,0
Explorer,Qassim,Ford,Automatic,Saudi,Standard,2009,3.5,99000,0
Land Cruiser,Al-Medina,Toyota,Automatic,Saudi,Semi Full,2008,4.5,545000,0
Hilux,Dammam,Toyota,Manual,Saudi,Full,2015,2.7,161000,0
Optima,Al-Medina,Kia,Automatic,Other,Semi Full,2015,2.4,950000,0
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,2007,1.8,541000,0
CX3,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,0
Cruze,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2012,1.8,12300,0
LS,Riyadh,Lexus,Automatic,Saudi,Full,2011,4.6,149000,0
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.5,140000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,33700,0
Dyna,Tabouk,Isuzu,Manual,Saudi,Semi Full,2008,3.0,130,0
F150,Qassim,Ford,Automatic,Saudi,Full,2013,6.5,419000,0
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2019,2.5,65000,0
Land Cruiser,Makkah,Toyota,Automatic,Saudi,Full,2013,4.6,254,0
Innova,Riyadh,Toyota,Automatic,Saudi,Standard,2015,2.7,452000,0
Accord,Al-Medina,Honda,Automatic,Saudi,Semi Full,2017,2.4,80000,0
Taurus,Qassim,Ford,Automatic,Saudi,Standard,2015,3.5,253000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019,5.3,55700,0
Camry,Sabya,Toyota,Manual,Saudi,Full,2008,2.5,500000,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.4,140000,0
Expedition,Jeddah,Ford,Automatic,Saudi,Semi Full,2013,5.4,316,0
Soul,Riyadh,Kia,Automatic,Saudi,Semi Full,2016,2.0,142000,0
Pajero,Hafar Al-Batin,Mitsubishi,Automatic,Saudi,Full,2007,3.5,300000,0
Victoria,Najran,Ford,Automatic,Other,Standard,2003,4.6,280000,0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2018,3.5,180,0
Civic,Jeddah,Honda,Automatic,Other,Semi Full,2006,1.6,305000,0
Suburban,Jeddah,Chevrolet,Automatic,Other,Semi Full,2001,3.8,290000,0
Taurus,Makkah,Ford,Automatic,Other,Semi Full,2013,3.5,250,0
Datsun,Besha,Nissan,Manual,Saudi,Full,2013,2.4,202702,0
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2014,4.0,497480,0
Malibu,Jeddah,Chevrolet,Automatic,Saudi,Full,2011,3.6,299,0
LS,Riyadh,Lexus,Automatic,Saudi,Full,2008,8.0,383000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2013,5.3,165000,0
H9,Qassim,HAVAL,Automatic,Saudi,Full,2021,2.0,508,0
H1,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,245900,0
Prado,Riyadh,Toyota,Automatic,Saudi,Full,2014,4.0,220,0
Cayenne,Jubail,Porsche,Automatic,Saudi,Full,2005,2.4,300000,0
Hilux,Tabouk,Toyota,Manual,Other,Full,2009,5.3,400,0
Maybach,Riyadh,Mercedes,Automatic,Saudi,Full,2019,6.0,29000,0
Yukon,Riyadh,GMC,Automatic,Other,Standard,2016,5.3,32000,0
Picanto,Jeddah,Kia,Automatic,Saudi,Semi Full,2012,1.5,200000,0
Taurus,Aseer,Ford,Automatic,Saudi,Full,2015,3.5,214,0
Taurus,Abha,Ford,Automatic,Saudi,Standard,2015,3.5,279000,0
S,Riyadh,Mercedes,Automatic,Saudi,Full,2001,3.0,299,0
LX,Riyadh,Lexus,Automatic,Saudi,Full,2019,5.7,450000,0
Cerato,Jeddah,Kia,Automatic,Unknown,Standard,2012,1.6,265000,0
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,37000,0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,74000,0
Datsun,Jeddah,Nissan,Manual,Saudi,Standard,2016,2.4,110014,0
Corolla,Abha,Toyota,Manual,Saudi,Standard,2013,1.4,400000,0
Accord,Riyadh,Honda,Automatic,Saudi,Full,2018,1.5,106,0
Avalon,Jeddah,Toyota,Automatic,Other,Full,2017,3.5,117000,0
Previa,Makkah,Toyota,Automatic,Gulf Arabic,Semi Full,2012,2.4,190000,0
Cressida,Al-Medina,Toyota,Manual,Gulf Arabic,Semi Full,1996,2.4,60000,0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,295000,0
Ciocca,Taef,Toyota,Automatic,Saudi,Semi Full,2011,5.7,240000,0
S,Qassim,Mercedes,Automatic,Saudi,Full,2018,3.5,53700,0
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2013,5.4,277000,0
Panamera,Jeddah,Porsche,Automatic,Saudi,Full,2011,3.6,169000,0
Tahoe,Riyadh,Chevrolet,Automatic,Unknown,Semi Full,2008,5.3,85000,0
Accent,Riyadh,Hyundai,Automatic,Other,Standard,2013,1.4,240,0
Land Cruiser 70,Taef,Toyota,Manual,Saudi,Full,1983,6.0,10000,0
KICKS,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,5.7,26000,0
Rav4,Al-Ahsa,Toyota,Automatic,Other,Standard,2017,2.5,91000,0
Pathfinder,Riyadh,Nissan,Automatic,Saudi,Full,2007,3.5,200000,0
Camry,Taef,Toyota,Automatic,Saudi,Semi Full,2017,2.5,148000,0
Delta,Taef,Daihatsu,Manual,Saudi,Semi Full,2012,4.0,300000,0
GLE,Riyadh,Mercedes,Automatic,Saudi,Full,2018,3.0,40600,0
Other,Jazan,Other,Manual,Other,Standard,2011,2.4,100000,0
Avalon,Jeddah,Toyota,Automatic,Saudi,Full,2016,3.5,60000,0
Land Cruiser,Al-Ahsa,Toyota,Automatic,Other,Full,2015,4.6,139000,0
Silverado,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2014,4.3,52000,0
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2021,5.0,5700,0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2016,1.5,97000,0
Escalade,Najran,Cadillac,Automatic,Other,Full,2007,6.2,222000,0
C,Makkah,Mercedes,Automatic,Saudi,Full,2016,6.3,50000,0
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,200,0
Expedition,Jubail,Ford,Automatic,Saudi,Full,2004,5.4,231091,0
Cadenza,Arar,Kia,Automatic,Saudi,Semi Full,2018,1.6,7500,0
Yaris,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2015,1.5,94000,0
Marquis,Riyadh,Ford,Automatic,Saudi,Full,1998,4.6,492360,0
Land Cruiser,Riyadh,Toyota,Manual,Gulf Arabic,Full,2004,5.7,385000,0
Patrol,Besha,Nissan,Automatic,Saudi,Standard,2019,4.0,54000,0
Traverse,Tabouk,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,56500,0
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2016,1.0,86428,0
Hilux,Dammam,Toyota,Manual,Unknown,Full,2016,2.7,342125,0
Caprice,Dammam,Chevrolet,Automatic,Other,Full,2004,6.0,400,0
H1,Dammam,Hyundai,Manual,Saudi,Standard,2017,2.4,100000,0
S300,Jeddah,Chrysler,Automatic,Saudi,Full,2014,3.6,94000,0
Elantra,Aseer,Hyundai,Automatic,Saudi,Full,2021,2.0,14000,0
Hilux,Qassim,Toyota,Manual,Saudi,Semi Full,2009,2.7,35000,0
The 4,Riyadh,BMW,Automatic,Gulf Arabic,Full,2018,2.0,45000,0
Prado,Jeddah,Toyota,Automatic,Saudi,Semi Full,2015,2.7,97000,0
Datsun,Jeddah,Nissan,Manual,Saudi,Full,2015,2.4,116,0
Yukon,Najran,GMC,Automatic,Gulf Arabic,Semi Full,2008,5.3,395000,0
CX9,Riyadh,Mazda,Automatic,Saudi,Full,2017,2.5,123000,0
Pajero,Qassim,Mitsubishi,Automatic,Other,Semi Full,2016,3.5,190,0
Silverado,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,153000,0
Avalon,Riyadh,Toyota,Automatic,Saudi,Full,2013,3.5,136000,0
Hiace,Jeddah,Toyota,Manual,Saudi,Standard,2013,2.7,270000,0
Range Rover,Dammam,Land Rover,Automatic,Saudi,Semi Full,2014,3.0,149000,0
Flex,Jazan,Ford,Automatic,Saudi,Standard,2014,3.5,142000,0
Camry,Najran,Toyota,Automatic,Saudi,Semi Full,2020,2.5,30000,0
Grand Vitara,Makkah,Suzuki,Manual,Saudi,Standard,2002,2.5,371000,0
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2012,3.6,360000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2017,5.3,147000,0
Hilux,Qurayyat,Toyota,Manual,Saudi,Full,2020,2.8,31000,0
Marquis,Al-Baha,Ford,Automatic,Saudi,Full,1999,4.6,10000,0
Optima,Makkah,Kia,Automatic,Saudi,Semi Full,2016,2.4,190000,0
Datsun,Riyadh,Nissan,Manual,Saudi,Standard,2015,1.5,137000,0
Camry,Yanbu,Toyota,Automatic,Saudi,Standard,2016,2.5,111417,0
The 5,Makkah,BMW,Automatic,Other,Semi Full,2005,2.0,278878,0
H3,Al-Medina,Hummer,Automatic,Other,Full,2007,3.5,330,0
Taurus,Qassim,Ford,Automatic,Saudi,Semi Full,2014,3.5,190000,0
Expedition,Jeddah,Ford,Automatic,Saudi,Full,2012,5.4,242,0
Marquis,Abha,Ford,Automatic,Saudi,Semi Full,2008,4.6,2500,0
Land Cruiser,Abha,Toyota,Manual,Saudi,Semi Full,2002,4.6,214000,0
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2019,3.5,84000,0
Innova,Jeddah,Toyota,Automatic,Saudi,Full,2018,2.7,1000,0
Abeka,Riyadh,Chevrolet,Automatic,Saudi,Full,2007,4.3,168000,0
Sierra,Riyadh,GMC,Automatic,Other,Standard,2011,5.3,262000,0
Patrol,Makkah,Nissan,Manual,Saudi,Semi Full,2003,6.0,20017,0
Camry,Qassim,Toyota,Automatic,Unknown,Standard,2019,2.5,30000,0
Camry,Jeddah,Toyota,Automatic,Unknown,Standard,2010,2.5,142333,0
Hilux,Al-Ahsa,Toyota,Manual,Saudi,Full,2012,2.7,337681,0
Suburban,Riyadh,Chevrolet,Automatic,Other,Full,2009,5.3,190000,0
ES,Riyadh,Lexus,Automatic,Saudi,Standard,2019,2.5,30000,0
LX,Tabouk,Lexus,Automatic,Gulf Arabic,Full,2014,5.7,128000,0
The M,Al-Ahsa,BMW,Automatic,Saudi,Full,2007,2.0,145000,0
Tahoe,Hail,Chevrolet,Automatic,Saudi,Standard,2021,8.5,7700,0
Accent,Arar,Hyundai,Automatic,Saudi,Standard,2015,1.4,196,0
Furniture,Riyadh,Toyota,Automatic,Saudi,Full,2019,1.1,166,0
Delta,Jeddah,Daihatsu,Manual,Saudi,Standard,2014,3.7,51000,0
Navara,Dammam,Nissan,Manual,Saudi,Standard,2016,2.5,141000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2016,2.7,280,0
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2014,4.6,495000,0
H1,Riyadh,Hyundai,Automatic,Other,Semi Full,2015,2.7,112000,0
Optima,Riyadh,Kia,Automatic,Saudi,Standard,2018,2.0,11000,0
A8,Riyadh,Audi,Automatic,Saudi,Full,2014,3.0,175,0
Sonata,Riyadh,Hyundai,Automatic,Gulf Arabic,Standard,2016,2.4,80000,0
Tahoe,Hail,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,170000,0
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2018,2.7,67000,0
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2016,2.0,249110,0
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2019,2.7,75000,0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.0,245000,0
Expedition,Tabouk,Ford,Automatic,Saudi,Standard,2013,5.4,99349,0
FJ,Jeddah,Toyota,Automatic,Saudi,Full,2009,4.0,360000,0
S,Dammam,Mercedes,Automatic,Saudi,Full,2011,3.6,84000,0
Suburban,Tabouk,Chevrolet,Automatic,Saudi,Full,2009,5.3,25000,0
Avalon,Riyadh,Toyota,Automatic,Saudi,Full,2009,3.5,430000,0
Accord,Aseer,Honda,Automatic,Saudi,Full,2005,2.0,530000,0
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Semi Full,2012,4.0,300000,0
Accord,Taef,Honda,Automatic,Saudi,Full,2009,2.4,100,0
Tahoe,Abha,Chevrolet,Automatic,Saudi,Standard,2016,5.3,145000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2021,5.4,5000,0
Pajero,Abha,Mitsubishi,Automatic,Unknown,Full,2020,3.5,5000,0
Datsun,Khobar,Nissan,Manual,Other,Standard,2014,2.4,119000,0
IS,Arar,Lexus,Automatic,Gulf Arabic,Full,2020,2.0,5900,0
Blazer,Riyadh,Chevrolet,Automatic,Saudi,Full,2006,2.3,3500,0
300,Riyadh,Chrysler,Automatic,Saudi,Full,2007,3.5,30000,0
Elantra,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,2.0,248767,0
Taurus,Al-Medina,Ford,Automatic,Saudi,Full,2013,3.0,148000,0
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2020,2.7,1040,0
Hilux,Abha,Toyota,Manual,Saudi,Semi Full,2016,2.7,155000,0
C300,Al-Baha,Chrysler,Automatic,Saudi,Full,2006,3.5,200000,0
Corolla,Jeddah,Toyota,Automatic,Saudi,Semi Full,2019,1.6,31000,0
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2019,2.5,84000,0
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2009,5.7,422,0
Hilux,Al-Ahsa,Toyota,Manual,Gulf Arabic,Full,2015,2.7,198000,0
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2020,2.5,31000,0
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.4,112000,0
LX,Tabouk,Lexus,Automatic,Other,Full,1998,5.7,200000,0
Tucson,Qassim,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,149293,0
Accord,Riyadh,Honda,Automatic,Gulf Arabic,Full,2017,2.4,30000,0
SLK,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,3.0,100000,0
Expedition,Al-Medina,Ford,Automatic,Saudi,Full,2004,5.4,230000,0
Expedition,Jeddah,Ford,Automatic,Saudi,Semi Full,2012,8.0,190,0
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.5,95000,0
QX,Riyadh,INFINITI,Automatic,Saudi,Full,2014,3.7,186000,0
Camry,Sabya,Toyota,Manual,Other,Semi Full,2006,2.5,250,0
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,109000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2008,8.0,262000,0
C300,Jeddah,Chrysler,Automatic,Saudi,Full,2019,3.6,80000,0
Hilux,Al-Baha,Toyota,Manual,Saudi,Standard,2013,2.7,154500,0
LX,Tabouk,Lexus,Automatic,Saudi,Full,2010,1.0,400,0
Expedition,Riyadh,Ford,Automatic,Other,Semi Full,2004,5.4,291000,0
Land Cruiser Pickup,Riyadh,Toyota,Manual,Other,Semi Full,2016,5.0,184,0
Explorer,Jeddah,Ford,Automatic,Saudi,Standard,2010,3.5,400000,0
CX9,Jeddah,Mazda,Automatic,Saudi,Full,2016,3.7,152000,0
The 7,Qassim,BMW,Automatic,Gulf Arabic,Full,2002,3.6,288000,0
L200,Jeddah,Mitsubishi,Manual,Saudi,Standard,2016,2.4,239650,0
Yukon,Aseer,GMC,Automatic,Saudi,Semi Full,2009,5.3,250,0
Carnival,Riyadh,Kia,Automatic,Other,Semi Full,2009,3.3,216908,0
Lancer,Dammam,Mitsubishi,Automatic,Gulf Arabic,Standard,2016,1.6,80000,0
Land Cruiser 70,Dammam,Toyota,Manual,Saudi,Standard,2016,4.0,49900,0
Ciocca,Besha,Toyota,Automatic,Saudi,Semi Full,2012,5.7,250000,0
Sierra,Abha,GMC,Automatic,Other,Full,2015,5.3,212000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2007,4.7,340000,0
The 3,Riyadh,BMW,Automatic,Saudi,Full,2014,2.0,110000,0
Flex,Jeddah,Ford,Automatic,Saudi,Semi Full,2013,3.5,220000,0
CS95,Makkah,Changan,Automatic,Saudi,Full,2020,2.0,70000,0
Ciocca,Dammam,Toyota,Automatic,Saudi,Full,2012,5.7,67000,0
Datsun,Riyadh,Nissan,Manual,Saudi,Full,2016,2.6,33387,0
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.7,106000,0
Van,Riyadh,Ford,Automatic,Saudi,Full,2002,3.6,133000,0
Sierra,Jubail,GMC,Automatic,Unknown,Full,1984,5.3,289000,0
Impala,Dammam,Chevrolet,Automatic,Gulf Arabic,Full,2017,3.6,87000,0
Pathfinder,Dammam,Nissan,Automatic,Saudi,Standard,2013,3.5,96000,0
Van,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,107601,0
Camry,Riyadh,Toyota,Automatic,Unknown,Standard,2017,2.5,305000,0
Hilux,Qassim,Toyota,Manual,Saudi,Semi Full,2016,2.7,135637,0
Sierra,Taef,GMC,Automatic,Other,Standard,2019,5.3,2900,0
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,119000,0
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,20000,0
Land Cruiser,Aseer,Toyota,Automatic,Gulf Arabic,Semi Full,2016,4.6,121,0
Boxer,Dammam,Peugeot,Manual,Saudi,Full,2014,2.8,207000,0
Marquis,Yanbu,Ford,Automatic,Other,Full,2009,5.7,244000,0
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2021,1.0,13169,0
Patrol,Riyadh,Nissan,Manual,Saudi,Standard,1997,4.2,318,0
Marquis,Al-Medina,Ford,Automatic,Other,Semi Full,2010,8.0,349000,0
Land Cruiser,Al-Medina,Toyota,Manual,Saudi,Semi Full,2015,4.6,199,0
VTC,Tabouk,Nissan,Manual,Saudi,Standard,2015,4.8,164000,0
Suburban,Qassim,Chevrolet,Automatic,Saudi,Semi Full,2005,2.4,350000,0
Camry,Aseer,Toyota,Manual,Saudi,Semi Full,2005,2.5,570,0
Caprice,Qassim,Chevrolet,Automatic,Unknown,Standard,2007,6.0,300000,0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,44500,0
Navara,Dammam,Nissan,Automatic,Saudi,Semi Full,2013,2.5,76000,0
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,57000,0
LX,Al-Medina,Lexus,Automatic,Saudi,Full,2015,5.7,157000,0
Patrol,Riyadh,Nissan,Automatic,Unknown,Full,2019,4.0,38000,0
Tahoe,Riyadh,Chevrolet,Automatic,Other,Full,2011,5.3,165000,0
Camry,Makkah,Toyota,Automatic,Saudi,Full,2017,1.6,99000,0
Camry,Hafar Al-Batin,Toyota,Automatic,Saudi,Standard,2019,2.5,39180,0
Delta,Jeddah,Daihatsu,Manual,Saudi,Full,2014,3.7,287000,0
Corolla,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,1.6,135000,0
Odyssey,Al-Medina,Honda,Automatic,Saudi,Full,2012,2.0,360,0
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,37000,0
Altima,Dammam,Nissan,Manual,Other,Full,1993,2.5,250,0
Yukon,Al-Medina,GMC,Automatic,Saudi,Full,2015,3.5,124000,0
Wrangler,Riyadh,Jeep,Automatic,Saudi,Standard,2014,3.6,150,0
Hilux,Makkah,Toyota,Manual,Gulf Arabic,Full,2018,2.7,84620,0
FJ,Hail,Toyota,Automatic,Gulf Arabic,Full,2016,4.0,140000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013,5.3,300000,0
